project_id,project_title,project_kind,proof_tier,source_priority,source_strategy,component_count,routed_source_count,source_role_coverage,top_source_candidates,source_gap,next_source_actions,claim_rule
row7,Discovery Engine - eight-stage cross-disciplinary research-question discovery apparatus,research workflow software,file-backed-proof-build,P0,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,101,12,5,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC | Creativity Research Nik Murano,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-poison-rag,Retrieval Integrity and Poisoning Defense,retrieval security / evaluation harness,specified-proof-plan-needs-demo,P0,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",9,12,5,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al | Intelligence and Information Policy for National Security Jan Goldman PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured analysis room,source-backed-proof-build,P0,"Use sources to connect counterintelligence tradecraft, active measures, data poisoning, analytic deception, and human-AI review burden. The proof must show actor objective, poisoned evidence pathway, analytic uptake or rejection, and bounded warning.",17,12,5,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,retrieval security / evaluation harness,specified-proof-plan-needs-demo,P0,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",9,12,5,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al | Intelligence and Information Policy for National Security Jan Goldman PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-magnum-opus,Magnum Opus,retrieval / evidence software,specified-proof-plan-needs-demo,P0,"Use sources to test retrieval as scholarly warrant rather than as fluent search. The proof must show corpus boundary, retrieved passage, evidence score, negative-space finding, abstention case, and claim boundary.",10,12,5,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aifailure-tax,AI Failure Taxonomy,method atlas / taxonomy,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"A Military Atlas of the First World War Arthur S. Banks et al | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr.","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-murano,Murano,software operating environment,specified-proof-plan-needs-demo,P0,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",11,12,5,"A Companion to Environmental Thought Peter Hay | Designing Your Work Life Nik Murano | God, Time, and Knowledge William Hasker | Hidden Genocides Power, Knowledge, Memory Alexander Laban Hinton et al","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
row10,Analyst Workstation - eight-page interactive AI-augmented intelligence-analysis handbook,human-AI analysis workstation,specified-proof-plan-needs-demo,P1,"Use sources to test human-in-the-loop analytic value: structured technique selection, evidence weighting, confidence change, AI-output correction, residual disagreement, and release recommendation.",8,12,5,Pherso Counterintelligence Structured Analytic Techniques | Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis | Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis (2) | routledge handbook of pyschoanalytic political theory 1138696315 9781138696310 1315524759 9781315524757 compress,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
trilogy,"Book Trilogy - Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",book / manuscript system,specified-proof-plan-needs-demo,P0,"Use sources to govern chapter argument, voice register, public title, source burden, and cross-chapter handoff. Each source should either thicken the chapter claim, sharpen a counterclaim, or constrain the public formulation.",11,12,5,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC | Intelligence and Information Policy for National Security Key Terms and Concepts Jan Goldman et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,Cooking as a Chemical Reaction Culinary Science With Experiments Z. Sibel Ozilgen | Experiments on Mass Communication C. I. Hovland et al | OceanofPDF.com Experiments on Mass Communication C I Hovland PDOC | cambridge handbook experimental polisci,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
