project_id,product_name,launch_target,surface_capture_status,runtime_status,next_runtime_evidence_required,reason,capture_href
applied-history,Applied History - lab for using historical case study to inform contemporary policy,index.html#applied-history,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/applied-history/index.html
native-aiprompt-eng,AI Prompt Engineering,index.html#native-aiprompt-eng,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-aiprompt-eng/index.html
native-analyst-assurance-desk,Analyst Assurance Desk,index.html#native-analyst-assurance-desk,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-analyst-assurance-desk/index.html
native-berlin,Berlin Occupation Zones and Refugee Crisis,index.html#native-berlin,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-berlin/index.html
native-russia,Russia,index.html#native-russia,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-russia/index.html
native-russia-history-room,Russia Historical Context Room,index.html#native-russia-history-room,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-russia-history-room/index.html
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,index.html#row6,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/row6/index.html
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",index.html#cognitive-warfare,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/cognitive-warfare/index.html
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",index.html#historical-studies,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/historical-studies/index.html
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,index.html#ir-lexicon,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/ir-lexicon/index.html
native-africa,Colonial Encounter in Africa,index.html#native-africa,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-africa/index.html
native-east-asia,East Asian War and Strategic Tradition,index.html#native-east-asia,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-east-asia/index.html
native-mideast,Ottoman Palestine and Early Zionism,index.html#native-mideast,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-mideast/index.html
native-mongol,Mongol Empire Military Systems,index.html#native-mongol,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-mongol/index.html
native-western,Western Political Thought and the Ideal State,index.html#native-western,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-western/index.html
russia-desk,Russia Source-To-Judgment Desk,index.html#russia-desk,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/russia-desk/index.html
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",index.html#analytical-methodology,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/analytical-methodology/index.html
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",index.html#regional-studies,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/regional-studies/index.html
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,index.html#decision-advantage-system,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/decision-advantage-system/index.html
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,index.html#mb-dialectic-engine-room-pass1-handoff,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/mb-dialectic-engine-room-pass1-handoff/index.html
native-russia-security-desk,Russia Security Desk,index.html#native-russia-security-desk,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/native-russia-security-desk/index.html
mb-infragard-handoff,InfraGard preparatory note (minimal),index.html#mb-infragard-handoff,browser_surface_capture_ready,still_requires_live_runtime_trace,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.",surface_capture_packets/mb-infragard-handoff/index.html
