record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Handoff Identity,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Handoff Identity; confirm source identity, retrieval path, support state, and output: bounded definition of what the handoff asks a.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Room Task Model,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Room Task Model; confirm source identity, retrieval path, support state, and output: room logic that turns the concept into a.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Data Schema And Persistence Plan,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Data Schema And Persistence Plan; confirm source identity, retrieval path, support state, and output: data model that lets the room.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Interface And Instrument Plane,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Interface And Instrument Plane; confirm source identity, retrieval path, support state, and output: named interface instruments that.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Integration Path,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Integration Path; confirm source identity, retrieval path, support state, and output: build sequence for turning the handoff into.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Proof Boundary,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Proof Boundary; confirm source identity, retrieval path, support state, and output: honest current claim ceiling for the handoff....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Next Build Test,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Next Build Test; confirm source identity, retrieval path, support state, and output: specific test that would show the handoff has.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures / DoD MIP,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures / DoD MIP converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `DoD MIP` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures / White House,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures / White House converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `White House` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures / DCIPS STEM/cyber,Demonstrate that Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures / DCIPS STEM/cyber converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `DCIPS STEM/cyber` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
