project_id,product_name,final_object_type,build_tranche,component_count,average_maturity_score,minimum_maturity_score,level_distribution,execution_ready_components,instrumented_or_better_components,proof_status,distinctive_component_to_build,distinctive_component_operation,distinctive_component_output,weakest_components,next_full_build_step,claim_boundary,engine_page
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",100-item ranked bibliography with verification levels A/B/C x core/extended Handoff Identity | 100-item ranked bibliography with verification levels A/B/C x core/extended Room Task Model | 100-item ranked bibliography with verification levels A/B/C x core/extended Data Schema And Persistence Plan | 100-item ranked bibliography with verification levels A/B/C x core/extended Interface And Instrument Plane | 100-item ranked bibliography with verification levels A/B/C x core/extended Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Handoff Identity | 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Room Task Model | 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Data Schema And Persistence Plan | 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Interface And Instrument Plane | 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",3-page Russia integrated-strategy assessment (V1-V4 convergence) Handoff Identity | 3-page Russia integrated-strategy assessment (V1-V4 convergence) Room Task Model | 3-page Russia integrated-strategy assessment (V1-V4 convergence) Data Schema And Persistence Plan | 3-page Russia integrated-strategy assessment (V1-V4 convergence) Interface And Instrument Plane | 3-page Russia integrated-strategy assessment (V1-V4 convergence) Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",72-month master plan + Russian-language 12-month CSV + SF-86 prep Handoff Identity | 72-month master plan + Russian-language 12-month CSV + SF-86 prep Room Task Model | 72-month master plan + Russian-language 12-month CSV + SF-86 prep Data Schema And Persistence Plan | 72-month master plan + Russian-language 12-month CSV + SF-86 prep Interface And Instrument Plane | 72-month master plan + Russian-language 12-month CSV + SF-86 prep Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary","AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries Runtime Or Interface Surface | AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries Data And State Model | AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries Core Instrument Panel | AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries Workflow Orchestration | AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries Review And Governance Gate","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aifailure-tax,AI Failure Taxonomy,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",AI Failure Taxonomy Runtime Or Interface Surface | AI Failure Taxonomy Data And State Model | AI Failure Taxonomy Core Instrument Panel | AI Failure Taxonomy Workflow Orchestration | AI Failure Taxonomy Review And Governance Gate,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aigov-nav,AI Governance Navigator,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",AI Governance Navigator Runtime Or Interface Surface | AI Governance Navigator Data And State Model | AI Governance Navigator Core Instrument Panel | AI Governance Navigator Workflow Orchestration | AI Governance Navigator Review And Governance Gate,"Add one routing demonstration: user problem, chosen path, rejected path, governing criterion, output, and next review gate.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aiintel-cycle,AI Intelligence Cycle,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI Intelligence Cycle Runtime Or Interface Surface | AI Intelligence Cycle Data And State Model | AI Intelligence Cycle Core Instrument Panel | AI Intelligence Cycle Workflow Orchestration | AI Intelligence Cycle Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aiknowledge-prod,AI Knowledge Production,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI Knowledge Production Runtime Or Interface Surface | AI Knowledge Production Data And State Model | AI Knowledge Production Core Instrument Panel | AI Knowledge Production Workflow Orchestration | AI Knowledge Production Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aimodel-assess,AI Model Assessment,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI Model Assessment Runtime Or Interface Surface | AI Model Assessment Data And State Model | AI Model Assessment Core Instrument Panel | AI Model Assessment Workflow Orchestration | AI Model Assessment Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
