record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Handoff Identity,Demonstrate that Briefing Forge Room (code-ready) Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Handoff Identity; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Room Task Model,Demonstrate that Briefing Forge Room (code-ready) Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Room Task Model; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Data Schema And Persistence Plan,Demonstrate that Briefing Forge Room (code-ready) Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Data Schema And Persistence Plan; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Interface And Instrument Plane,Demonstrate that Briefing Forge Room (code-ready) Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Interface And Instrument Plane; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Integration Path,Demonstrate that Briefing Forge Room (code-ready) Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Integration Path; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Proof Boundary,Demonstrate that Briefing Forge Room (code-ready) Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Proof Boundary; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) Next Build Test,Demonstrate that Briefing Forge Room (code-ready) Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,Move one project through Briefing Forge Room (code-ready) Next Build Test; confirm stage output is recorded and downstream stale-state or release gates update.,GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) / backend/frontend,Demonstrate that Briefing Forge Room (code-ready) / backend/frontend converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `backend/frontend` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) / docs/02_PhaseI_Room_Spec.md,Demonstrate that Briefing Forge Room (code-ready) / docs/02_PhaseI_Room_Spec.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `docs/02_PhaseI_Room_Spec.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready) / docs/04_PhaseIII_Data_Model.md,Demonstrate that Briefing Forge Room (code-ready) / docs/04_PhaseIII_Data_Model.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `docs/04_PhaseIII_Data_Model.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
