project_id,product_name,object_family,instrument,workbench_href,claim_status,full_operational,remaining_gap
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source/archive governance,Source-and-claim review instrument,apps/mb-nik-handoff-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source/archive governance,Source-and-claim review instrument,apps/mb-russia-intelligence-analysis-final-handoff/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,source/archive governance,Source-and-claim review instrument,apps/mb-russian-reference-handoff-final/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source/archive governance,Source-and-claim review instrument,apps/mb-visible-chat-handoff-package/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aigov-nav,AI Governance Navigator,source/archive governance,Source-and-claim review instrument,apps/native-aigov-nav/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiintel-cycle,AI Intelligence Cycle,source/archive governance,Source-and-claim review instrument,apps/native-aiintel-cycle/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiknowledge-prod,AI Knowledge Production,source/archive governance,Source-and-claim review instrument,apps/native-aiknowledge-prod/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aishared-instruments,AI Shared Instruments,source/archive governance,Source-and-claim review instrument,apps/native-aishared-instruments/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-cicc,ICC Complementarity Case Room,source/archive governance,Source-and-claim review instrument,apps/native-cicc/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-crusades,Crusades and Mediterranean Order,source/archive governance,Source-and-claim review instrument,apps/native-crusades/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-peace,Track II Diplomacy and Peacebuilding,source/archive governance,Source-and-claim review instrument,apps/native-peace/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-war-theory,War Theory and Strategic Culture,source/archive governance,Source-and-claim review instrument,apps/native-war-theory/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
