record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-aigov-nav,AI Governance Navigator Runtime Or Interface Surface,Demonstrate that AI Governance Navigator Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for AI Governance Navigator Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator Data And State Model,Demonstrate that AI Governance Navigator Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator Core Instrument Panel,Demonstrate that AI Governance Navigator Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator Workflow Orchestration,Demonstrate that AI Governance Navigator Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator Review And Governance Gate,Demonstrate that AI Governance Navigator Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator Export Or Integration Surface,Demonstrate that AI Governance Navigator Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator Build Verification Queue,Demonstrate that AI Governance Navigator Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator / An NLP-based,Demonstrate that AI Governance Navigator / An NLP-based converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `An NLP-based` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator / Evidence Sections,Demonstrate that AI Governance Navigator / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aigov-nav,AI Governance Navigator / Review Notes,Demonstrate that AI Governance Navigator / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
