surface_capture_id,project_id,product_name,launch_target,section_found,visible_character_count,surface_capture_status,runtime_status,what_this_proves,what_this_does_not_prove,next_runtime_evidence_required,claim_boundary
BSC-C141FFA966EE,applied-history,Applied History - lab for using historical case study to inform contemporary policy,index.html#applied-history,yes,39942,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-B1001CDD2F39,native-aiprompt-eng,AI Prompt Engineering,index.html#native-aiprompt-eng,yes,31493,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-3B1FEAEC9667,native-analyst-assurance-desk,Analyst Assurance Desk,index.html#native-analyst-assurance-desk,yes,23108,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-304F03A7E7B8,native-berlin,Berlin Occupation Zones and Refugee Crisis,index.html#native-berlin,yes,34328,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-F9401FB20C29,native-russia,Russia,index.html#native-russia,yes,49664,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-63DE7BF6FB7C,native-russia-history-room,Russia Historical Context Room,index.html#native-russia-history-room,yes,40002,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-EB0544B38798,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,index.html#row6,yes,46264,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-F73721AFCCF8,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",index.html#cognitive-warfare,yes,31358,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-C8BAFF3A3DF6,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",index.html#historical-studies,yes,30287,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-0B63DB480151,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,index.html#ir-lexicon,yes,39628,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
