record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Handoff Identity,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Handoff Identity; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Room Task Model,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Room Task Model; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Data Schema And Persistence Plan,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Data Schema And Persistence Plan; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Interface And Instrument Plane,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Interface And Instrument Plane; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Integration Path,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Integration Path; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Proof Boundary,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Proof Boundary; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Next Build Test,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods Next Build Test; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Snapshot,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Snapshot converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Snapshot` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / What Technique Counters Confirmation Bias On A FININT Sanctions-evasion Question?,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / What Technique Counters Confirmation Bias On A FININT Sanctions-evasion Question? converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `What Technique Counters Confirmation Bias On A FININT Sanctions-evasion Question?` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / IC Analytic Technique Compendium,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / IC Analytic Technique Compendium converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `IC Analytic Technique Compendium` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Google Sheets. Unlike the Georgetown,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Google Sheets. Unlike the Georgetown converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Google Sheets. Unlike the Georgetown` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / IC/Five Eyes/NATO/EU/foreign-doctrine,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / IC/Five Eyes/NATO/EU/foreign-doctrine converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `IC/Five Eyes/NATO/EU/foreign-doctrine` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Georgetown Registry,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Georgetown Registry converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Georgetown Registry` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Bias and Technique,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Bias and Technique converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Bias and Technique` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Prioritize Capstone,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Prioritize Capstone converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Prioritize Capstone` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Improving Intelligence Analysis,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Improving Intelligence Analysis converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Improving Intelligence Analysis` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Leading Intelligence Analysis. AI,Demonstrate that 13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods / Leading Intelligence Analysis. AI converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Leading Intelligence Analysis. AI` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
source_binding,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Handoff Identity,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Handoff Identity.",method authority,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Room Task Model,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Room Task Model.",method authority,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Data Schema And Persistence Plan,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Data Schema And Persistence Plan.",method authority,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Interface And Instrument Plane,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods Interface And Instrument Plane.",method authority,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
