project_id,product_name,proof_status,average_maturity_score,distinctive_component_to_build,what_it_must_prove,observable_output_required,next_full_build_step,claim_boundary
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,instrumented proof set,4.0,Room instrument transition proof: * META: the Protocol v3.1 itself - consumed by every MuranoOS room ha...,"Select one room or instrument promise from * META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,instrumented proof set,4.0,Packet promotion decision proof: Actual code patch: 170 KB unified diff + changed files,"Select one artifact from Actual code patch: 170 KB unified diff + changed files and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,instrumented proof set,4.0,Packet promotion decision proof: Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,"Select one artifact from Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,instrumented proof set,4.0,Packet promotion decision proof: Annealed Refraction Chamber,"Select one artifact from Annealed Refraction Chamber and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-applied-history-lab,Applied History Lab,instrumented proof set,4.0,Room instrument transition proof: Applied History Lab,"Select one room or instrument promise from Applied History Lab and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,instrumented proof set,4.0,Packet promotion decision proof: Bias Atlas,"Select one artifact from Bias Atlas and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,instrumented proof set,4.0,Briefing-to-release proof: Briefing Forge,"Take one briefing element from Briefing Forge through source intake, drafting, review brake, release decision, and revision requirement.","briefing input, source support, release brake decision, revision task, and approved public wording","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),instrumented proof set,4.0,Briefing-to-release proof: Briefing Forge Room (code-ready),"Take one briefing element from Briefing Forge Room (code-ready) through source intake, drafting, review brake, release decision, and revision requirement.","briefing input, source support, release brake decision, revision task, and approved public wording","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,instrumented proof set,4.0,Counterintelligence analytic-variable proof: CI Tradecraft Chamber,"Take one intelligence or counterintelligence artifact from CI Tradecraft Chamber and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),instrumented proof set,4.0,Counterintelligence analytic-variable proof: CI red-cell methods reference architecture (post-integrity-correction...,"Take one intelligence or counterintelligence artifact from CI red-cell methods reference architecture (post-integrity-correction rebuild) and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
