record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Handoff Identity,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (source packet, code-ready room description, scope...) produces output (bounded definition of what the handoff asks a builder...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Room Task Model,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (user roles, task sequence, room state, and domain...) produces output (room logic that turns the concept into a repeatable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Data Schema And Persistence Plan,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (entities, records, IDs, tables, JSON structures...) produces output (data model that lets the room preserve work instead...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Interface And Instrument Plane,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (panels, command palette, drawers, matrices...) produces output (named interface instruments that make the room useful...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Integration Path,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (frontend, backend, storage, retrieval, auth, export...) produces output (build sequence for turning the handoff into working...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Proof Boundary,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (completed packet, code readiness, unimplemented...) produces output (honest current claim ceiling for the handoff...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Next Build Test,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (minimal executable path, seeded fixture, UI...) produces output (specific test that would show the handoff has become...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation / 11_SMOKE_TEST.md,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation / 11_SMOKE_TEST.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `11_SMOKE_TEST.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation / 12_COMMAND_REGISTRY_DELTA.md,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation / 12_COMMAND_REGISTRY_DELTA.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `12_COMMAND_REGISTRY_DELTA.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation / 00_READ_FIRST.md,Demonstrate that Most implementation-ready: .patch + full files + snapshot + SQL verification + validation / 00_READ_FIRST.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `00_READ_FIRST.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
