project_id,product_name,runtime_path,vault_path,desktop_screenshot_path,mobile_screenshot_path,hosted_smoke_path,reviewer_note_path
applied-history,Applied History - lab for using historical case study to inform contemporary policy,non_overlap_runtime_slices/apps/applied-history/index.html,non_overlap_residual_evidence_vaults/vaults/applied-history/index.html,non_overlap_residual_evidence_vaults/vaults/applied-history/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/applied-history/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/applied-history/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/applied-history/reviewer_validation_note.md
native-aiprompt-eng,AI Prompt Engineering,non_overlap_runtime_slices/apps/native-aiprompt-eng/index.html,non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/index.html,non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/reviewer_validation_note.md
native-analyst-assurance-desk,Analyst Assurance Desk,non_overlap_runtime_slices/apps/native-analyst-assurance-desk/index.html,non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/index.html,non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/reviewer_validation_note.md
native-berlin,Berlin Occupation Zones and Refugee Crisis,non_overlap_runtime_slices/apps/native-berlin/index.html,non_overlap_residual_evidence_vaults/vaults/native-berlin/index.html,non_overlap_residual_evidence_vaults/vaults/native-berlin/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-berlin/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-berlin/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-berlin/reviewer_validation_note.md
native-russia,Russia,non_overlap_runtime_slices/apps/native-russia/index.html,non_overlap_residual_evidence_vaults/vaults/native-russia/index.html,non_overlap_residual_evidence_vaults/vaults/native-russia/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-russia/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-russia/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-russia/reviewer_validation_note.md
native-russia-history-room,Russia Historical Context Room,non_overlap_runtime_slices/apps/native-russia-history-room/index.html,non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/index.html,non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/reviewer_validation_note.md
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,non_overlap_runtime_slices/apps/row6/index.html,non_overlap_residual_evidence_vaults/vaults/row6/index.html,non_overlap_residual_evidence_vaults/vaults/row6/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/row6/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/row6/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/row6/reviewer_validation_note.md
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",non_overlap_runtime_slices/apps/cognitive-warfare/index.html,non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/index.html,non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/reviewer_validation_note.md
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",non_overlap_runtime_slices/apps/historical-studies/index.html,non_overlap_residual_evidence_vaults/vaults/historical-studies/index.html,non_overlap_residual_evidence_vaults/vaults/historical-studies/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/historical-studies/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/historical-studies/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/historical-studies/reviewer_validation_note.md
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,non_overlap_runtime_slices/apps/ir-lexicon/index.html,non_overlap_residual_evidence_vaults/vaults/ir-lexicon/index.html,non_overlap_residual_evidence_vaults/vaults/ir-lexicon/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/ir-lexicon/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/ir-lexicon/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/ir-lexicon/reviewer_validation_note.md
