project_id,product_name,source_applications,concept_or_better_rows,quote_candidate_or_better_rows,human_verified_integrated_rows,maximum_depth_observed,average_depth_score,source_roles,concept_families,maxed_out_status,reason_not_maxed_out,next_depth_action
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
master-bundle-atlas,Master Bundle Packet Promotion Atlas,7,7,7,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | method/evaluation standard | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,7,7,7,0,5,5.0,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
russia-desk,Russia Source-To-Judgment Desk,7,7,7,0,5,5.0,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
trilogy,Book Trilogy Manuscript Governance System,7,7,7,0,5,5.0,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | general source strengthening | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
analytical-methods,Structured Analytic Technique Studio,6,6,6,0,5,5.0,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
native-capstone-quantitative,Quantitative Capstone Workbench,6,6,6,0,5,5.0,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame",not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,6,6,6,0,5,5.0,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
row10,Structured Human-AI Analyst Workstation,6,6,6,0,5,5.0,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,5,5,5,0,5,5.0,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
native-murano,MuranoOS Research Operating Environment,5,5,5,0,5,5.0,counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
row7,Nexus Research Pipeline,5,5,5,0,5,5.0,counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame",not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
