project_id,closure_lane,slot_id,required_file,proves,status
applied-history,runtime_deployment_validation,desktop_screenshot,desktop_screenshot.png,Desktop viewport renders the runtime surface and output without layout failure.,missing
applied-history,runtime_deployment_validation,mobile_screenshot,mobile_screenshot.png,Mobile viewport renders the runtime surface and output without layout failure.,missing
applied-history,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,missing
applied-history,runtime_deployment_validation,reviewer_validation_note,reviewer_validation_note.md,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the runtime result.",missing
native-aiprompt-eng,runtime_deployment_validation,desktop_screenshot,desktop_screenshot.png,Desktop viewport renders the runtime surface and output without layout failure.,missing
native-aiprompt-eng,runtime_deployment_validation,mobile_screenshot,mobile_screenshot.png,Mobile viewport renders the runtime surface and output without layout failure.,missing
native-aiprompt-eng,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,missing
native-aiprompt-eng,runtime_deployment_validation,reviewer_validation_note,reviewer_validation_note.md,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the runtime result.",missing
native-analyst-assurance-desk,runtime_deployment_validation,desktop_screenshot,desktop_screenshot.png,Desktop viewport renders the runtime surface and output without layout failure.,missing
native-analyst-assurance-desk,runtime_deployment_validation,mobile_screenshot,mobile_screenshot.png,Mobile viewport renders the runtime surface and output without layout failure.,missing
native-analyst-assurance-desk,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,missing
native-analyst-assurance-desk,runtime_deployment_validation,reviewer_validation_note,reviewer_validation_note.md,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the runtime result.",missing
native-berlin,runtime_deployment_validation,desktop_screenshot,desktop_screenshot.png,Desktop viewport renders the runtime surface and output without layout failure.,missing
native-berlin,runtime_deployment_validation,mobile_screenshot,mobile_screenshot.png,Mobile viewport renders the runtime surface and output without layout failure.,missing
native-berlin,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,missing
native-berlin,runtime_deployment_validation,reviewer_validation_note,reviewer_validation_note.md,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the runtime result.",missing
native-russia,runtime_deployment_validation,desktop_screenshot,desktop_screenshot.png,Desktop viewport renders the runtime surface and output without layout failure.,missing
native-russia,runtime_deployment_validation,mobile_screenshot,mobile_screenshot.png,Mobile viewport renders the runtime surface and output without layout failure.,missing
native-russia,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,missing
native-russia,runtime_deployment_validation,reviewer_validation_note,reviewer_validation_note.md,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the runtime result.",missing
native-russia-history-room,runtime_deployment_validation,desktop_screenshot,desktop_screenshot.png,Desktop viewport renders the runtime surface and output without layout failure.,missing
native-russia-history-room,runtime_deployment_validation,mobile_screenshot,mobile_screenshot.png,Mobile viewport renders the runtime surface and output without layout failure.,missing
native-russia-history-room,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,missing
native-russia-history-room,runtime_deployment_validation,reviewer_validation_note,reviewer_validation_note.md,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the runtime result.",missing
