record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Handoff Identity,Demonstrate that Comparative Genocide Systems Lab Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (source packet, code-ready room description, scope...) produces output (bounded definition of what the handoff asks a builder...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Room Task Model,Demonstrate that Comparative Genocide Systems Lab Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (user roles, task sequence, room state, and domain...) produces output (room logic that turns the concept into a repeatable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Data Schema And Persistence Plan,Demonstrate that Comparative Genocide Systems Lab Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (entities, records, IDs, tables, JSON structures...) produces output (data model that lets the room preserve work instead...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Interface And Instrument Plane,Demonstrate that Comparative Genocide Systems Lab Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (panels, command palette, drawers, matrices...) produces output (named interface instruments that make the room useful...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Integration Path,Demonstrate that Comparative Genocide Systems Lab Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (frontend, backend, storage, retrieval, auth, export...) produces output (build sequence for turning the handoff into working...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Proof Boundary,Demonstrate that Comparative Genocide Systems Lab Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (completed packet, code readiness, unimplemented...) produces output (honest current claim ceiling for the handoff...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab Next Build Test,Demonstrate that Comparative Genocide Systems Lab Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (minimal executable path, seeded fixture, UI...) produces output (specific test that would show the handoff has become...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab / backend/frontend,Demonstrate that Comparative Genocide Systems Lab / backend/frontend converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `backend/frontend` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab / docs/01_conceptual_spec.md,Demonstrate that Comparative Genocide Systems Lab / docs/01_conceptual_spec.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `docs/01_conceptual_spec.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab / db/001_create_genocide_lab_tables.sql,Demonstrate that Comparative Genocide Systems Lab / db/001_create_genocide_lab_tables.sql converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `db/001_create_genocide_lab_tables.sql` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab / src/rooms/genocide-lab/GenocideLabRoom.tsx,Demonstrate that Comparative Genocide Systems Lab / src/rooms/genocide-lab/GenocideLabRoom.tsx converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `src/rooms/genocide-lab/GenocideLabRoom.tsx` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab / src/rooms/genocide-lab,Demonstrate that Comparative Genocide Systems Lab / src/rooms/genocide-lab converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `src/rooms/genocide-lab` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
