record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Runtime Or Interface Surface","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Runtime Or Interface Surface; confirm a room, action, or state record traces to the.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Data And State Model","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Data And State Model converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Data And State Model; confirm source lane, analytic variable, confidence boundary, and policy-facing.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Core Instrument Panel","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Core Instrument Panel; confirm source lane, analytic variable, confidence boundary, and policy-facing.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Workflow Orchestration","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Workflow Orchestration; confirm source lane, analytic variable, confidence boundary, and policy-facing.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Review And Governance Gate","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Review And Governance Gate; confirm source lane, analytic variable, confidence boundary, and.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Export Or Integration Surface","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Export Or Integration Surface; confirm source lane, analytic variable, confidence boundary, and.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Build Verification Queue","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Build Verification Queue; confirm source lane, analytic variable, confidence boundary, and policy-facing.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Russia Desk","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Russia Desk converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Russia Desk` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Security Desk","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Security Desk converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Security Desk` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / History Page","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / History Page converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `History Page` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / East Asia","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / East Asia converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `East Asia` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Once the","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Once the converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Once the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Chronicle","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Chronicle converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Chronicle` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Historical Inheritance","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Historical Inheritance converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Historical Inheritance` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Security Relevance","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Security Relevance converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Security Relevance` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Remaining Verification Work","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Remaining Verification Work converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Remaining Verification Work` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Page Split (Security Desk + History Page) And The Twenty","Demonstrate that Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) / Page Split (Security Desk + History Page) And The Twenty converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Page Split (Security Desk + History Page) And The Twenty` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
source_binding,regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Runtime Or Interface Surface","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Runtime Or Interface Surface.",method authority,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
