project_id,product_name,production_state,closure_lane,gate_id,gate_name,required_evidence,status,next_action
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-infragard-handoff,InfraGard preparatory note (minimal),proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-infragard-handoff,InfraGard preparatory note (minimal),proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-insinuationengineroom-handoff-done,Insinuation Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-insinuationengineroom-handoff-done,Insinuation Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-africa,Colonial Encounter in Africa,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-africa,Colonial Encounter in Africa,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-aiprompt-eng,AI Prompt Engineering,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-aiprompt-eng,AI Prompt Engineering,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-analyst-assurance-desk,Analyst Assurance Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-analyst-assurance-desk,Analyst Assurance Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-berlin,Berlin Occupation Zones and Refugee Crisis,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-berlin,Berlin Occupation Zones and Refugee Crisis,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-east-asia,East Asian War and Strategic Tradition,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-east-asia,East Asian War and Strategic Tradition,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mideast,Ottoman Palestine and Early Zionism,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mideast,Ottoman Palestine and Early Zionism,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mongol,Mongol Empire Military Systems,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mongol,Mongol Empire Military Systems,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia,Russia,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia,Russia,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-history-room,Russia Historical Context Room,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-history-room,Russia Historical Context Room,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-security-desk,Russia Security Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-security-desk,Russia Security Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-western,Western Political Thought and the Ideal State,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-western,Western Political Thought and the Ideal State,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
russia-desk,Russia Source-To-Judgment Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
russia-desk,Russia Source-To-Judgment Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
