project_id,project_title,product_name,project_kind,final_object_type,runtime_target,operational_end_state,build_tranche,priority_score,proof_tier,component_count,core_modules,source_strategy,source_requirement,source_gap,test_suite,current_build_status,proof_to_full_build_gap,first_full_build,next_implementation_steps,claim_boundary
row7,Discovery Engine - eight-stage cross-disciplinary research-question discovery apparatus,Nexus Research Pipeline,research workflow software,reusable research-pipeline software,local-first web or desktop application with a graph-backed research-stage dependency model,"A researcher can start with a seed question, discover transferable mechanisms from other fields, pressure-test analogies, move the result through academic research stages, and see downstream sections marked stale when upstream claims, methods, or evidence change.",T0 reusable platform kernel,120.1,file-backed-proof-build,101,Observatory intake and problem decomposition | Scanner and source-field discovery | Bridge mechanism-transfer mapper | Cross-Pollination and XPol fit-pressure tester | Incubator research-object builder | Forge writing/export gate | stage-dependency stale-state engine,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output | dependency test: upstream change marks downstream work stale,file-backed proof build; needs live reviewer capture for stronger public demonstration,Convert file-backed proof into live reviewer capture and repeatable demo.,Implement a live seed-question walkthrough with one cross-field transfer and one downstream stale-state propagation.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-murano,Murano,MuranoOS Research Operating Environment,software operating environment,local research operating system / workstation builder,"desktop or local web application with room registry, instruments, state database, agents, handoffs, and export gates","A researcher can create project-specific rooms, use instruments, record decisions, route work between departments or agents, preserve state, and export professional work products under review gates.",T0 reusable platform kernel,111.1,specified-proof-plan-needs-demo,11,room registry | instrument registry | state database | agent or department handoff bus | review gate | export boundary | project workstation template system,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Show one project moving through room selection, instrument execution, state update, department handoff, review gate, and export.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-magnum-opus,Magnum Opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,local scholarly retrieval and evidence-warrant software,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer","A researcher can ask a question against a local scholarly corpus, inspect retrieved passages, see what the corpus does not support, receive an evidence score, and export only claims that remain inside the source warrant.",T0 reusable platform kernel,111.0,specified-proof-plan-needs-demo,10,corpus registry | index and retrieval service | passage trace viewer | evidence scoring | negative-space detector | abstention policy | citation/export boundary,"Use sources to test retrieval as scholarly warrant rather than as fluent search. The proof must show corpus boundary, retrieved passage, evidence score, negative-space finding, abstention case, and claim boundary.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Build a public-safe retrieval trace with corpus boundary, retrieved passages, evidence score, negative-space finding, abstention, and claim ceiling.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-poison-rag,Retrieval Integrity and Poisoning Defense,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,adversarial retrieval-security evaluation platform,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates","A researcher can run clean baseline, slow poison, fast injection, and authority-wrapper attacks through a retrieval pipeline and inspect how contamination enters, moves, distorts, or is blocked.",T0 reusable platform kernel,110.9,specified-proof-plan-needs-demo,9,adversarial fixture registry | source-admission gate | indexing and retrieval trace | answer deformation comparator | reviewer-burden estimator | block/narrow/abstain decision gate | replay ledger,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Build the mixed-speed Poison-RAG replay with slow poison, fast injection, authority wrapper, retrieval trace, and defense decision.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
row10,Analyst Workstation - eight-page interactive AI-augmented intelligence-analysis handbook,Structured Human-AI Analyst Workstation,human-AI analysis workstation,human-in-the-loop analytic workstation,"interactive analysis application with SAT registry, baseline-vs-reviewed output, confidence delta, and release decision","An analyst can run an AI output through structured analytic techniques, record human corrections, compare confidence, identify residual disagreement, and decide whether to release, narrow, or block the result.",T0 reusable platform kernel,110.8,specified-proof-plan-needs-demo,8,SAT method registry | baseline AI output intake | structured review board | human correction ledger | confidence delta tracker | release decision gate,"Use sources to test human-in-the-loop analytic value: structured technique selection, evidence weighting, confidence change, AI-output correction, residual disagreement, and release recommendation.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | human-AI delta test: structured human review changes, narrows, blocks, or justifies output",specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Build one SAT comparison board: baseline AI answer, structured technique pass, human delta, confidence boundary, and release decision.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
analytical-methods,"Structured Methods Library - method-composition page across Heuer, structured analytic techniques, and intelligence methodology",Structured Analytic Technique Studio,analysis method / workstation,method-composition and evaluation software,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects","A researcher can select or combine structured analytic techniques, apply them to a task, compare baseline and method-supported reasoning, and preserve the conditions under which each technique helped or failed.",T0 reusable platform kernel,110.8,specified-proof-plan-needs-demo,8,SAT taxonomy | method-composition builder | task-method fit checker | baseline/method comparison | sequencing experiment ledger | human-AI collaboration result board,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,Build a two-technique comparison on one analytic task and record where each technique changed the output.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
trilogy,"Book Trilogy - Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",Book Trilogy Manuscript Governance System,book / manuscript system,manuscript governance and chapter-upgrade system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates","Each of 72 chapters carries a public title, argument backbone, source burden, book-specific voice rule, visual identity, revision status, and handoff to adjacent chapters.",T1 flagship operational demonstrator,91.1,specified-proof-plan-needs-demo,11,chapter dossier registry | argument backbone field | source state and close-read queue | voice/register constitution | visual-title governance | cross-chapter handoff | revision status,"Use sources to govern chapter argument, voice register, public title, source burden, and cross-chapter handoff. Each source should either thicken the chapter claim, sharpen a counterclaim, or constrain the public formulation.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output | chapter uniqueness test: title, visual, source, and argument are chapter-specific",specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,Build one complete representative dossier per book and then scale the same fields across all 72 chapters.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,future-work technical evaluation architecture,miniature evaluation harness derived from the advisor annex,"The annex becomes a replayable research architecture: adversarial packet, retrieval trace, analyst validation, defensive gate, replay record, and claim boundary.",T1 flagship operational demonstrator,90.9,specified-proof-plan-needs-demo,9,annex scenario registry | adversarial evidence packet builder | human/LLM validation checkpoint | defensive gate | replay record | future-study claim boundary,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,Convert the advisor annex into one runnable evaluation capsule without representing it as completed empirical results.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
russia-desk,Russia Desk - two-page Russian intelligence-and-history analytical desk,Russia Source-To-Judgment Desk,analysis method / workstation,regional analytic workstation,source-family to analytic-variable board with uncertainty and judgment gates,"A researcher can route Russia sources into actor interests, institutional constraints, strategic culture, deception patterns, force posture, uncertainty limits, and bounded analytic judgments.",T1 flagship operational demonstrator,90.8,specified-proof-plan-needs-demo,8,source-family registry | actor interest model | institutional constraint model | strategic culture and deception pattern fields | force posture notes | uncertainty limits | judgment gate,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,Run one source family into a visible source-to-variable-to-judgment chain.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured analysis room,analytic method or human-AI evaluation module,structured public page plus project-specific data packet and proof runner,"A user can apply a method, compare baseline and method-supported reasoning, record human judgment, and preserve the claim boundary.",T1 flagship operational demonstrator,81.7,source-backed-proof-build,17,baseline answer | structured review | human delta | confidence gate,"Use sources to connect counterintelligence tradecraft, active measures, data poisoning, analytic deception, and human-AI review burden. The proof must show actor objective, poisoned evidence pathway, analytic uptake or rejection, and bounded warning.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | human-AI delta test: structured human review changes, narrows, blocks, or justifies output",source-backed proof build; needs source-to-output capture and close-read strengthening,Bind at least one close-read source to one output-changing component and capture the source-to-output trace.,Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
master-bundle-atlas,Master Bundle Atlas - 152 source and handoff packets,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,source packet governance and project-routing system,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields","A large archive can be converted into governed build inputs by assigning each packet identity, source state, authority, project route, and next action.",T1 flagship operational demonstrator,81.7,source-backed-proof-build,17,packet registry | extraction status | authority and supersession classifier | duplicate-risk checker | project route selector | promotion decision board,"Use sources to govern packet promotion: identity, provenance, extraction status, authority level, project route, duplicate risk, and the next build decision for each bundle item.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | promotion test: item cannot advance without identity, authority, route, and next action",source-backed proof build; needs source-to-output capture and close-read strengthening,Bind at least one close-read source to one output-changing component and capture the source-to-output trace.,Run one packet through canonical/derivative/archive/build-now classification and capture the next action.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
