project_id,project_class,production_state,closure_lane,blocking_gate_count,pack_href,runbook_href,next_production_action
analytical-methodology,software_or_instrument,production_complete,runtime_deployment_validation,0,packs/analytical-methodology/index.html,packs/analytical-methodology/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
applied-history,software_or_instrument,production_complete,runtime_deployment_validation,0,packs/applied-history/index.html,packs/applied-history/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
bias-atlas,software_or_instrument,production_complete,live_case_calibration,0,packs/bias-atlas/index.html,packs/bias-atlas/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
cognitive-firewall-instruments,source_or_evidence_system,production_complete,publication_readiness_review,0,packs/cognitive-firewall-instruments/index.html,packs/cognitive-firewall-instruments/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
cognitive-warfare,software_or_instrument,production_complete,runtime_deployment_validation,0,packs/cognitive-warfare/index.html,packs/cognitive-warfare/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
critical-functions-observatory,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/critical-functions-observatory/index.html,packs/critical-functions-observatory/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
decision-advantage-system,software_or_instrument,production_complete,runtime_deployment_validation,0,packs/decision-advantage-system/index.html,packs/decision-advantage-system/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
genocide-lab,software_or_instrument,production_complete,live_case_calibration,0,packs/genocide-lab/index.html,packs/genocide-lab/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
historical-studies,software_or_instrument,production_complete,runtime_deployment_validation,0,packs/historical-studies/index.html,packs/historical-studies/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
ir-lexicon,software_or_instrument,production_complete,runtime_deployment_validation,0,packs/ir-lexicon/index.html,packs/ir-lexicon/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
master-bundle-atlas,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/master-bundle-atlas/index.html,packs/master-bundle-atlas/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-briefingforgeroom-handoff-pass4-done,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-briefingforgeroom-handoff-pass4-done/index.html,packs/mb-briefingforgeroom-handoff-pass4-done/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-cognitive-firewalls-foundry-handoff-v1,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-cognitive-firewalls-foundry-handoff-v1/index.html,packs/mb-cognitive-firewalls-foundry-handoff-v1/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-comparative-genocide-systems-lab-handoff-v1-0,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-comparative-genocide-systems-lab-handoff-v1-0/index.html,packs/mb-comparative-genocide-systems-lab-handoff-v1-0/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-comparative-rhetoric-final,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-comparative-rhetoric-final/index.html,packs/mb-comparative-rhetoric-final/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-counter-idiom-lab-proper-handoff-done,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-counter-idiom-lab-proper-handoff-done/index.html,packs/mb-counter-idiom-lab-proper-handoff-done/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-dialectic-engine-room-pass1-handoff,source_or_evidence_system,production_complete,runtime_deployment_validation,0,packs/mb-dialectic-engine-room-pass1-handoff/index.html,packs/mb-dialectic-engine-room-pass1-handoff/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-foreign-affairs-lexicon-handoff-v1,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-foreign-affairs-lexicon-handoff-v1/index.html,packs/mb-foreign-affairs-lexicon-handoff-v1/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-fractal-keep-handoff-v1,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-fractal-keep-handoff-v1/index.html,packs/mb-fractal-keep-handoff-v1/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-georgetown-ic-handoff-done,source_or_evidence_system,production_complete,source_verification_external_review,0,packs/mb-georgetown-ic-handoff-done/index.html,packs/mb-georgetown-ic-handoff-done/PRODUCTION_COMPLETION_RUNBOOK.md,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
