project_id,closure_lane,local_automated_status,underlying_project_fully_operational,evidence_hash
applied-history,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,c72732762ae2d2e9
native-aiprompt-eng,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,ba36703ce0353910
native-analyst-assurance-desk,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,a05b4d536de8c84d
native-berlin,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,d82e2c1aa6d37746
native-russia,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,51dd70b15ccefa9b
native-russia-history-room,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,e50f8822d29c6eda
row6,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,200bf204af771790
cognitive-warfare,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,a92b8109c1a5fd49
historical-studies,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,092bfaa47bb0558e
ir-lexicon,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,b2248fd0d4ee7f81
native-africa,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,b41cb525bfcf3c03
native-east-asia,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,749a5d8d422a9faf
native-mideast,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,d14b4290251609b8
native-mongol,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,e276170d38a59cdb
native-western,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,778263e30c5a35e0
russia-desk,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,959d4be0452203e2
analytical-methodology,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,f29ef9baa17afbcd
regional-studies,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,2ea1894c01e65f3a
decision-advantage-system,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,6eab28a9b0d92f17
mb-dialectic-engine-room-pass1-handoff,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,61c32dd68c5dcb05
native-russia-security-desk,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,387ff7d5bad5df41
mb-infragard-handoff,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,5391f371d0ff12d9
mb-insinuationengineroom-handoff-done,runtime_deployment_validation,automated_local_evidence_complete_external_gates_open,False,29edbcbb4f72e814
mb-nik-handoff-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,2e40b28420ee6386
mb-russia-intelligence-analysis-final-handoff,source_verification_external_review,source_work_order_ready_external_review_open,False,df5daa3e2660b11c
mb-russian-reference-handoff-final,source_verification_external_review,source_work_order_ready_external_review_open,False,a5687631b81216a4
mb-visible-chat-handoff-package,source_verification_external_review,source_work_order_ready_external_review_open,False,73ac7d2732dafc1c
native-aigov-nav,source_verification_external_review,source_work_order_ready_external_review_open,False,de23f8bddde3cd01
native-aiintel-cycle,source_verification_external_review,source_work_order_ready_external_review_open,False,f69527ff09c22014
native-aiknowledge-prod,source_verification_external_review,source_work_order_ready_external_review_open,False,e21219bdef15f90e
native-aishared-instruments,source_verification_external_review,source_work_order_ready_external_review_open,False,de26797ba3ca59a9
native-cicc,source_verification_external_review,source_work_order_ready_external_review_open,False,d2f52232e4aedc55
native-crusades,source_verification_external_review,source_work_order_ready_external_review_open,False,9c6a49cbfdc3946f
native-peace,source_verification_external_review,source_work_order_ready_external_review_open,False,7ac97bfd7aa0b987
native-war-theory,source_verification_external_review,source_work_order_ready_external_review_open,False,938947af8c5c7275
cognitive-firewall-instruments,publication_readiness_review,publication_control_ready_not_closed,False,d70f23f7bf25bc55
master-bundle-atlas,source_verification_external_review,source_work_order_ready_external_review_open,False,314dc6f64227591d
native-amfp,source_verification_external_review,source_work_order_ready_external_review_open,False,8d40dfb58bde7b07
native-trilogy-showcase,manuscript_editorial_completion,local_editorial_control_ready_not_closed,False,c6f07ad143909bed
native-trilogy-showcase-atlas,manuscript_editorial_completion,local_editorial_control_ready_not_closed,False,4ed2178009ea5516
reflexive-control-chamber,source_verification_external_review,source_work_order_ready_external_review_open,False,c095adc2bc7ac9de
row2,publication_readiness_review,publication_control_ready_not_closed,False,267a09602f1b037c
trilogy,manuscript_editorial_completion,local_editorial_control_ready_not_closed,False,093d2eaa9d660e6f
bias-atlas,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,eb33a2cf4523f5e8
genocide-lab,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,7fe646400abb311a
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,manuscript_editorial_completion,local_editorial_control_ready_not_closed,False,58a524775df106d0
native-aifailure-tax,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,12b094ac1e24aa30
native-aimodel-assess,source_verification_external_review,source_work_order_ready_external_review_open,False,17483e0b73dc6ec6
native-aiosintnarr,source_verification_external_review,source_work_order_ready_external_review_open,False,c1b2d5b4904d88bf
native-atanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,9e0a609bd72e955e
native-cmanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,dce3081a3b840ceb
native-cyanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,039c357ed1c3add7
native-ddianalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,77eba18e6832623b
native-etanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,84d38770b1bbab9a
native-fwanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,7ba52c1a646f3540
native-hsanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,2a697b1a3707dcf2
native-icanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,594cf4aa59b910c2
native-psanalysis,live_case_calibration,synthetic_rehearsal_ready_live_calibration_open,False,1a3de9f82444ae1e
native-wargaming,source_verification_external_review,source_work_order_ready_external_review_open,False,a4445fcb72042db2
wargaming,source_verification_external_review,source_work_order_ready_external_review_open,False,78905381823e5d11
critical-functions-observatory,source_verification_external_review,source_work_order_ready_external_review_open,False,cc031c3f641da1d9
mb-russia-security-handoff-packet-done,source_verification_external_review,source_work_order_ready_external_review_open,False,41658de8e84cbea1
mb-narrative-furnace-handoff-pack-2026-04-14,source_verification_external_review,source_work_order_ready_external_review_open,False,f16d3aad4a92d6d1
