close_read_task_id,project_id,product_name,source_role,source_candidate,quote_candidate_id,current_depth_level,required_action,output_to_update,test_to_update,completion_evidence_required
CRT-66F789C11E7A,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,method authority,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-C784C15E5C9F,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,QCN-87F1F384520E,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-D8BE2D0F357E,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-5DC82D231CC5,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-7D6C3B122122,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-9ABECC0ADF35,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-F83966430E5D,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",technical mechanism,Civilization and Its Discontents,QCN-C9CF078562AC,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-5D4E24F0CCA8,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",evaluation standard,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-546FD1F38AEB,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",counter-source or limitation,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-1C753CC8C10A,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",source-to-output bridge,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
