record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-aimodel-assess,AI Model Assessment Runtime Or Interface Surface,Demonstrate that AI Model Assessment Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for AI Model Assessment Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment Data And State Model,Demonstrate that AI Model Assessment Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment Core Instrument Panel,Demonstrate that AI Model Assessment Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment Workflow Orchestration,Demonstrate that AI Model Assessment Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment Review And Governance Gate,Demonstrate that AI Model Assessment Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment Export Or Integration Surface,Demonstrate that AI Model Assessment Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment Build Verification Queue,Demonstrate that AI Model Assessment Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Evidence Sections,Demonstrate that AI Model Assessment / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Review Notes,Demonstrate that AI Model Assessment / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Native Navigation,Demonstrate that AI Model Assessment / Native Navigation converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Native Navigation` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / APA lineage,Demonstrate that AI Model Assessment / APA lineage converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `APA lineage` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / source lineage claim limit. The public package remains text,Demonstrate that AI Model Assessment / source lineage claim limit. The public package remains text converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `source lineage claim limit. The public package remains text` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Bind Claims To Test Materials,Demonstrate that AI Model Assessment / Bind Claims To Test Materials converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Bind Claims To Test Materials` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Expose False,Demonstrate that AI Model Assessment / Expose False converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Expose False` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Positive And False,Demonstrate that AI Model Assessment / Positive And False converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Positive And False` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Negative Risks,Demonstrate that AI Model Assessment / Negative Risks converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Negative Risks` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aimodel-assess,AI Model Assessment / Add Method,Demonstrate that AI Model Assessment / Add Method converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Add Method` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
source_binding,native-aimodel-assess,AI Model Assessment Runtime Or Interface Surface,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Runtime Or Interface Surface.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment Data And State Model,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Data And State Model.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment Core Instrument Panel,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Core Instrument Panel.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment Workflow Orchestration,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Workflow Orchestration.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment Review And Governance Gate,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Review And Governance Gate.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment Export Or Integration Surface,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Export Or Integration Surface.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment Build Verification Queue,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment Build Verification Queue.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Evidence Sections,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Evidence Sections.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Review Notes,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Review Notes.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Native Navigation,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Native Navigation.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / APA lineage,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / APA lineage.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / source lineage claim limit. The public package remains text,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / source lineage claim limit. The public package remains text.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Bind Claims To Test Materials,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Bind Claims To Test Materials.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Expose False,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Expose False.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Positive And False,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Positive And False.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-aimodel-assess,AI Model Assessment / Negative Risks,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: AI Model Assessment / Negative Risks.",method authority,2020 10 06 homeland threat assessment,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
