fixture_id,project_id,product_name,object_family,required_live_capture,reason_static_package_is_insufficient,claim_boundary
NOF-5E7EA4A6A847,applied-history,Applied History - lab for using historical case study to inform contemporary policy,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-181A07E67531,native-aiprompt-eng,AI Prompt Engineering,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-B19520D5C283,native-analyst-assurance-desk,Analyst Assurance Desk,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-D21BF531E194,native-berlin,Berlin Occupation Zones and Refugee Crisis,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-3C214294E1E6,native-russia,Russia,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-AB62AE5307D3,native-russia-history-room,Russia Historical Context Room,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-F86EA304A56E,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-F3F588A07E7C,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-95CE87116B95,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-4C4F62AFD221,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-557FF805C8FB,native-africa,Colonial Encounter in Africa,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-570D3DB3137B,native-east-asia,East Asian War and Strategic Tradition,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-9EEAA0D2FA77,native-mideast,Ottoman Palestine and Early Zionism,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-BCCF5487EB18,native-mongol,Mongol Empire Military Systems,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-284CDBF7D993,native-western,Western Political Thought and the Ideal State,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-B61429581353,russia-desk,Russia Source-To-Judgment Desk,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-9DAC8D0BC3D3,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-F2BE0960E558,regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-B0F0E4B678F4,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
NOF-1B2FFD3DEBF1,mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,software/app,"Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.","A static packet cannot prove a software/app workflow is runnable, stateful, interactive, or export-capable.",May claim fixture kit exists; may not claim runnable software standing until live runtime trace is captured.
