record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Artifact Identity Register,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (packet name, source files, version signal, scope...) produces output (what the packet is and what decision it can still...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Extraction And Manifest Layer,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (files, tables, text, screenshots, source notes...) produces output (what can be safely mined from the packet...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Mechanism Or Claim Distillation,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (the packet's central method, model, concept, or design...) produces output (the distinctive idea that should not disappear in...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Proof Boundary,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (built assets, partial assets, archive-only assets...) produces output (what the packet proves now as a reviewable artifact) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Promotion Route,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (website room, MuranoOS room, Nexus task, paper, source...) produces output (where the packet should go next as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Current Authority State,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (canonical, superseded, derivative, draft...) produces output (how strongly the packet may govern a public page) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Gap And Reconciliation Queue,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (missing source reads, duplicate resolution, version...) produces output (next step before stronger public use as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab / seed_nodes.jsonl,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab / seed_nodes.jsonl converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `seed_nodes.jsonl` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab / seed_edges.jsonl,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab / seed_edges.jsonl converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `seed_edges.jsonl` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab / CISA National Critical Functions,Demonstrate that Critical Functions Observatory — defensive UAS / critical-infrastructure research lab / CISA National Critical Functions converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `CISA National Critical Functions` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
