project_id,project_title,new_component,why_needed,input,operation,output,source_candidates,source_boundary,acceptance_test
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
analytical-methods,"Structured Methods Library — method-composition page across Heuer, structured analytic techniques, and intelligence methodology",Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
applied-history,Applied History — lab for using historical case study to inform contemporary policy,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A Military Atlas of the First World War Arthur S. Banks et al | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
capstone-orig,Qualitative Capstone — qualitative analysis of analyst response to AI-introduced corruption,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments",Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
critical-functions-observatory,Critical Functions Observatory — defensive UAS / critical-infrastructure research lab,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | 043 Historical Documents Harvard Classics PDOC | A Critical Cinema PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
decision-advantage-system,Decision Advantage System — operating architecture for intelligence and security organizations,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
