record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface; confirm a room, action, or.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model; confirm evidence, assumptions, method.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel; confirm evidence, assumptions, method.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration; confirm evidence, assumptions, method.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate; confirm evidence, assumptions, method.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Export Or Integration Surface","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Export Or Integration Surface; confirm evidence, assumptions.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Build Verification Queue","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Build Verification Queue; confirm evidence, assumptions, method.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Meridian Network","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Meridian Network converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Meridian Network` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Operation GRAY DAWN","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Operation GRAY DAWN converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Operation GRAY DAWN` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,analytical-methodology,"Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Caracas Question","Demonstrate that Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Caracas Question converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University | Citing Generative AI Artificial Intelligence (Generative) Resources Guides at Georgetown University | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Caracas Question` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
