project_id,product_name,project_class,final_object_type,owner_lane,closure_lane,production_state,production_complete,public_proof_surface_operational,harness_executes,regression_case_count,residual_required_slots,residual_present_slots,residual_missing_slots,residual_missing_files,blocking_gate_count,blocking_gates,blocking_gate_names,exclusion_reason,next_production_action
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,publication_readiness_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source_or_evidence_system,source packet governance and project-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,runtime_deployment_validation,proof_surface_operational_evidence_incomplete,no,yes,yes,3,4,3,1,hosted_deployment_smoke.json,2,G8; G10,Deployment or reproducibility smoke; No unresolved blocking gaps,,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
