implementation_id,project_id,engine_id,instrument_id,instrument_name,operation_type,operation_description,falsifier,implementation_sha256
master-bundle-atlas-instrument-01-implementation,master-bundle-atlas,master-bundle-atlas-room-engine,master-bundle-atlas-instrument-01,packet registry,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",a21f7f812e8337ad8a127c67ddd2da65d3cbcaf08e2e9818cb3b2afcbed10c3b
master-bundle-atlas-instrument-02-implementation,master-bundle-atlas,master-bundle-atlas-room-engine,master-bundle-atlas-instrument-02,extraction status,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",f1628679a1353d23dfbaf49997fa26efc752f3fdb33bcba8475c8b79440e6975
master-bundle-atlas-instrument-03-implementation,master-bundle-atlas,master-bundle-atlas-room-engine,master-bundle-atlas-instrument-03,authority and supersession classifier,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",4d393ce97bfb295f813f6520b5b6a3c89d88ffbbb3852704e8ad6795618f4124
master-bundle-atlas-instrument-04-implementation,master-bundle-atlas,master-bundle-atlas-room-engine,master-bundle-atlas-instrument-04,duplicate-risk checker,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",7c728b8926b4a756473e06f15adf3fc798e8dd5b3ddcb8da1bdf1cab88002cdc
master-bundle-atlas-instrument-05-implementation,master-bundle-atlas,master-bundle-atlas-room-engine,master-bundle-atlas-instrument-05,project route selector,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",f290a6b6b2d1cd54cab9143ea7f51518b21c9d5446b42c51dcc8fc658167035e
master-bundle-atlas-instrument-06-implementation,master-bundle-atlas,master-bundle-atlas-room-engine,master-bundle-atlas-instrument-06,promotion decision board,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",96bc8073b26b033b85caa6c372319a5628d9dbcc3fe3717eefc63ac7144c0dc3
native-poison-rag-instrument-01-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-01,adversarial fixture registry,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",16045725988cae5e23a45bfbff2a2afb0f13ec45bfbcead627c5a2c76241bb2c
native-poison-rag-instrument-02-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-02,source-admission gate,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",4c6952aac3cbafc1dcefa63cd1d6a7fefc2370f6541ecdbf070175dc0b12a1d3
native-poison-rag-instrument-03-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-03,indexing and retrieval trace,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",0f299b998ff4c326e842c3593f2de7c84b9cd45bcf178d072e28392521333e85
native-poison-rag-instrument-04-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-04,answer deformation comparator,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",a532392d40bf03d3de0924ba61c1cff2fdd71007502a28b59ea2d712c4b68803
native-poison-rag-instrument-05-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-05,reviewer-burden estimator,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",60b41900ad55f9e3f173b9c1543dc41549a72dc39fbd0f91440c4306a632f495
native-poison-rag-instrument-06-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-06,block/narrow/abstain decision gate,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",8ed65fca639deb9fb83d0cad72083e0f7e323abb78afdef4f7cd0a271acf4e46
native-poison-rag-instrument-07-implementation,native-poison-rag,native-poison-rag-room-engine,native-poison-rag-instrument-07,replay ledger,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",d92b9f23f24371864eef5c5dcd8666139745b14d91132356aa35e7dcbd33b3c5
poison-rag-defense-annex-instrument-01-implementation,poison-rag-defense-annex,poison-rag-defense-annex-room-engine,poison-rag-defense-annex-instrument-01,annex scenario registry,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",f91d25add52a86988cc3e9ac1deccaf79a39e25c901c3b3aebb0a7f67c4dd032
poison-rag-defense-annex-instrument-02-implementation,poison-rag-defense-annex,poison-rag-defense-annex-room-engine,poison-rag-defense-annex-instrument-02,adversarial evidence packet builder,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",4dcebfe9b515c97d8787b038e3eeab320d75ac3de2686eff2882f41c588cd62c
poison-rag-defense-annex-instrument-03-implementation,poison-rag-defense-annex,poison-rag-defense-annex-room-engine,poison-rag-defense-annex-instrument-03,human/LLM validation checkpoint,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",373de3ee71759e9d74fa870989effc89a48887182590918d91a8173f2063a471
poison-rag-defense-annex-instrument-04-implementation,poison-rag-defense-annex,poison-rag-defense-annex-room-engine,poison-rag-defense-annex-instrument-04,defensive gate,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",6d36473fd86bc873b074a9d734e34985d3e14ee0ffe4cb5b5d184bf90137117c
poison-rag-defense-annex-instrument-05-implementation,poison-rag-defense-annex,poison-rag-defense-annex-room-engine,poison-rag-defense-annex-instrument-05,replay record,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",9b2982be069b26d07b1f52098e5c7b38fa93160781ff13372257885136697c65
poison-rag-defense-annex-instrument-06-implementation,poison-rag-defense-annex,poison-rag-defense-annex-room-engine,poison-rag-defense-annex-instrument-06,future-study claim boundary,retrieval_trace,"Trace how a question, source, or packet enters the retrieval/indexing path and what evidence boundary it produces.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",22d794bc0f86fc1156004900650bf17f524a3f5620e1daa595c5f9324619d44c
russia-desk-instrument-01-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-01,source-family registry,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",96cc038e94bff3725d98bf2516f98236ee41b3db81a476779945592c05a7268c
russia-desk-instrument-02-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-02,actor interest model,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",45f573fe871e1c0479c0037938bc39f7fa18bf0aa3b9c3e62f7a7d033a297df7
russia-desk-instrument-03-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-03,institutional constraint model,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",698d975d47f9733c44a04291cb9810714d6c0ccec5b737f9dcd5f3cbc78ce2e8
russia-desk-instrument-04-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-04,strategic culture and deception pattern fields,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",1acb666f2bf9883b5a02e59660b8dc290b1b79d5c805f4e467116f902402797c
russia-desk-instrument-05-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-05,force posture notes,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",78bb254f640e26ce1bc79be5a48528cb20fe7849c295ade0f7445e471f6968cb
russia-desk-instrument-06-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-06,uncertainty limits,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",cb69f0ff037e588c250cf2f1ec511830e653fe9656b7cdf645dc2de60dd55392
russia-desk-instrument-07-implementation,russia-desk,russia-desk-room-engine,russia-desk-instrument-07,judgment gate,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",22196e008a2831181b505c1f57c2e3b88cc1726c2fe355ea2b18053322edd171
trilogy-instrument-01-implementation,trilogy,trilogy-room-engine,trilogy-instrument-01,chapter dossier registry,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",fab95dab6262d63fad0e226a25632b6bdce697df43582db70bf1ffd9a2808c52
trilogy-instrument-02-implementation,trilogy,trilogy-room-engine,trilogy-instrument-02,argument backbone field,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",e085d5bd3b1ba39cc341c37237570d6d25bb3f3d55878db39d8d46e5d5cb6a83
trilogy-instrument-03-implementation,trilogy,trilogy-room-engine,trilogy-instrument-03,source state and close-read queue,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",a5933ccdc09f4043dc4dec4c461a2700b0e7c9667748aff5235399e3bd042531
trilogy-instrument-04-implementation,trilogy,trilogy-room-engine,trilogy-instrument-04,voice/register constitution,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",4577c3062164ef83df6deab191b19adca9ec6fee82a4a364428afd2889e2f63a
trilogy-instrument-05-implementation,trilogy,trilogy-room-engine,trilogy-instrument-05,visual-title governance,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",5f722e2b86127d25aad79a6ce72079c2a6fb8c7428add9af15731aec3b94e1b2
trilogy-instrument-06-implementation,trilogy,trilogy-room-engine,trilogy-instrument-06,cross-chapter handoff,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",448c618780d0702887deb1538a19f59e509a5cefe86bd0212104be1260a5ee97
trilogy-instrument-07-implementation,trilogy,trilogy-room-engine,trilogy-instrument-07,revision status,source_admission_gate,"Inspect source role, claim ceiling, quotation boundary, and evidence duty before a stronger claim is allowed.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",210a53292f74ec2ee1257d178f84950315928569868d0e49c53caacf85ca8dc4
analytical-methods-instrument-01-implementation,analytical-methods,analytical-methods-room-engine,analytical-methods-instrument-01,SAT taxonomy,classifier,"Classify the object into a decision category with a reason, confidence boundary, and review flag.","Fails if the instrument cannot identify its input, operation type, output state, evidence basis, claim effect, and next action.",5dbec15459cf97c249bef133edd3489e283e60fb3e6ed19514ea70316281a908
