project_id,product_name,final_object_type,owner_lane,exclusion_reason
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software module,active_non_overlap,
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software module,active_non_overlap,
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic method or human-AI evaluation module,active_non_overlap,
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source governance or packet-routing system,active_non_overlap,
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software module,active_non_overlap,
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source governance or packet-routing system,active_non_overlap,
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,research workflow software module,active_non_overlap,
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic method or human-AI evaluation module,active_non_overlap,
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software module,active_non_overlap,
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software module,active_non_overlap,
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source packet governance and project-routing system,active_non_overlap,
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source governance or packet-routing system,active_non_overlap,
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source governance or packet-routing system,active_non_overlap,
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,source governance or packet-routing system,active_non_overlap,
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),source governance or packet-routing system,active_non_overlap,
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source governance or packet-routing system,active_non_overlap,
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,source governance or packet-routing system,active_non_overlap,
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source governance or packet-routing system,active_non_overlap,
mb-fractal-keep-handoff-v1,Fractal Keep,source governance or packet-routing system,active_non_overlap,
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source governance or packet-routing system,active_non_overlap,
