record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,russia-desk,Russia Source Lane,Demonstrate that Russia Source Lane converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Source Lane; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Regime-Security Desk,Demonstrate that Regime-Security Desk converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regime-Security Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Military Adaptation Desk,Demonstrate that Military Adaptation Desk converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Military Adaptation Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Influence / Reflexive-Control Desk,Demonstrate that Influence / Reflexive-Control Desk converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Influence / Reflexive-Control Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Historical Inheritance Desk,Demonstrate that Historical Inheritance Desk converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Historical Inheritance Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Ukraine / NATO / Europe Desk,Demonstrate that Ukraine / NATO / Europe Desk converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Ukraine / NATO / Europe Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Structured Analytic Review,Demonstrate that Structured Analytic Review converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Structured Analytic Review; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,russia-desk,Public Claim Restraint,Demonstrate that Public Claim Restraint converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Public Claim Restraint; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
source_binding,russia-desk,Russia Source Lane,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Russia Source Lane.",method authority,Propaganda - Made - to - Measure - How - Our - Vulnerabilities - Facilitate - Russian - Influence,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Regime-Security Desk,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Regime-Security Desk.",method authority,Armies of Russia's War in Ukraine,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Military Adaptation Desk,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Military Adaptation Desk.",method authority,1601017 Conley KremlinPlaybook Web,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Influence / Reflexive-Control Desk,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Influence / Reflexive-Control Desk.",method authority,Killer in the Kremlin,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Historical Inheritance Desk,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Historical Inheritance Desk.",method authority,War Changes Everything: Russia After Ukraine,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Ukraine / NATO / Europe Desk,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Ukraine / NATO / Europe Desk.",method authority,Russian Grand Strategy: Rhetoric and Reality,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Structured Analytic Review,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Structured Analytic Review.",method authority,Russian Grand Strategy: Rhetoric and Reality,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,russia-desk,Public Claim Restraint,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Public Claim Restraint.",method authority,Putin Takes Crimea 2014: Grey-Zone Warfare Opens the Russia-Ukraine Conflict,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
