project_id,product_name,source_applications,concept_or_better_rows,quote_candidate_or_better_rows,human_verified_integrated_rows,maximum_depth_observed,average_depth_score,source_roles,concept_families,maxed_out_status,reason_not_maxed_out,next_depth_action
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame",not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,intelligence-analysis method and warning,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,8,8,8,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint",not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,7,7,7,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame",not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",7,7,7,0,5,5.0,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | method/evaluation standard | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,7,7,7,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
master-bundle-atlas,Master Bundle Packet Promotion Atlas,7,7,7,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | method/evaluation standard | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,7,7,7,0,5,5.0,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,not_maxed_out,"No project is source-maxed until load-bearing passages are human-verified, citation-located, and integrated into artifacts with before/after proof.",Promote the most important source row from machine cue to human-verified artifact change.
