project_id,product_name,final_object_type,route,required_source_roles,observed_source_roles,prior_binding_missing_roles,application_assigned_roles,unassigned_source_roles,prior_binding_role_coverage_ratio,application_role_coverage_ratio,source_count,strong_source_examples,source_utilization_status,source_application_priority,distinctive_component_to_bolster,how_sources_should_bolster_project,claim_boundary,next_source_application_step
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,technical mechanism,method authority | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: * META: the Protocol v3.1 itself - consumed by every MuranoOS room ha...,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,source governance or packet-routing system,master_bundle,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.429,1.0,3,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: 100-item ranked bibliography with verification levels A/B/C × core/ex...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | counter-source or limitation | close-read requirement,method authority | evaluation standard | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,AID Framework - Statement Builder,application-complete but close-read or bibliographic verification remains,high,"Room instrument transition proof: 25×25 matrix framework (Warning labels populated, cell content NOT)","Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source governance or packet-routing system,master_bundle,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation,method authority | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,5,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: 3-page Russia integrated-strategy assessment (V1-V4 convergence),"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.333,1.0,3,2015.219.Russian Thinkers text PDOC | 2015.219.Russian Thinkers text,application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: 32 interdisciplinary frameworks attributed to specific thinkers,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,application-complete but close-read or bibliographic verification remains,high,Concept-to-theory lexicon proof: 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,2aMassage Techniques and Effects Presentation PDOC | 2aMassage Techniques and Effects Presentation | A Tradecraft Primer Structured Analytic Techniques,application-complete but close-read or bibliographic verification remains,high,"Packet promotion decision proof: 50-course Georgetown SSP registry; 7,500+ technique lines; capstone p...","Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,application-complete but close-read or bibliographic verification remains,high,"Packet promotion decision proof: 50-entry curated arsenal (of planned 1,000)","Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Omega and the End of the Universe,application-complete but close-read or bibliographic verification remains,high,Professional capability evidence-router: 500-role ranked search universe (250 federal + 250 private),"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: 52 MB cross-project governance pack; nested 55 MB original bundle pre...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
