record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Advertised Artifact Check,Demonstrate that InfraGard preparatory note (minimal) Advertised Artifact Check converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Advertised Artifact Check; confirm exposure, uptake or rejection, reviewer burden, and output: records what the artifact appears to promise....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Observed Content Check,Demonstrate that InfraGard preparatory note (minimal) Observed Content Check converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Observed Content Check; confirm exposure, uptake or rejection, reviewer burden, and output: separates the artifact's name from what it actually....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Usable Residue,Demonstrate that InfraGard preparatory note (minimal) Usable Residue converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Usable Residue; confirm exposure, uptake or rejection, reviewer burden, and output: extracts only the limited value the artifact can....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Non-Claim Gate,Demonstrate that InfraGard preparatory note (minimal) Non-Claim Gate converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Non-Claim Gate; confirm exposure, uptake or rejection, reviewer burden, and output: blocks the packet from governing a page until....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Rebuild Route,Demonstrate that InfraGard preparatory note (minimal) Rebuild Route converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Rebuild Route; confirm exposure, uptake or rejection, reviewer burden, and output: names the path from stub to usable project....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Source Recovery Lane,Demonstrate that InfraGard preparatory note (minimal) Source Recovery Lane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Source Recovery Lane; confirm exposure, uptake or rejection, reviewer burden, and output: finds where the real material might live....",GREEN - proof packet ready for live capture
claim_crosswalk,mb-infragard-handoff,InfraGard preparatory note (minimal) Gap Queue,Demonstrate that InfraGard preparatory note (minimal) Gap Queue converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Replay one clean/poisoned case through InfraGard preparatory note (minimal) Gap Queue; confirm exposure, uptake or rejection, reviewer burden, and output: next verification step before use as a reviewable....",GREEN - proof packet ready for live capture
source_binding,mb-infragard-handoff,InfraGard preparatory note (minimal) Advertised Artifact Check,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: InfraGard preparatory note (minimal) Advertised Artifact Check.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-infragard-handoff,InfraGard preparatory note (minimal) Observed Content Check,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: InfraGard preparatory note (minimal) Observed Content Check.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-infragard-handoff,InfraGard preparatory note (minimal) Usable Residue,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: InfraGard preparatory note (minimal) Usable Residue.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
