record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Runtime Or Interface Surface,Demonstrate that AI Knowledge Production Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for AI Knowledge Production Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Data And State Model,Demonstrate that AI Knowledge Production Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Core Instrument Panel,Demonstrate that AI Knowledge Production Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Workflow Orchestration,Demonstrate that AI Knowledge Production Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Review And Governance Gate,Demonstrate that AI Knowledge Production Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Export Or Integration Surface,Demonstrate that AI Knowledge Production Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production Build Verification Queue,Demonstrate that AI Knowledge Production Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production / Includes George,Demonstrate that AI Knowledge Production / Includes George converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Includes George` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production / Tradecraft Primer,Demonstrate that AI Knowledge Production / Tradecraft Primer converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Tradecraft Primer` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production / NIST AI RMF,Demonstrate that AI Knowledge Production / NIST AI RMF converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `NIST AI RMF` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production / EU AI Act,Demonstrate that AI Knowledge Production / EU AI Act converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `EU AI Act` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production / Stanford HAI Index,Demonstrate that AI Knowledge Production / Stanford HAI Index converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Stanford HAI Index` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-aiknowledge-prod,AI Knowledge Production / Evidence Sections,Demonstrate that AI Knowledge Production / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
