record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Handoff Identity,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (source packet, code-ready room description, scope...) produces output (bounded definition of what the handoff asks a builder...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Room Task Model,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (user roles, task sequence, room state, and domain...) produces output (room logic that turns the concept into a repeatable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Data Schema And Persistence Plan,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (entities, records, IDs, tables, JSON structures...) produces output (data model that lets the room preserve work instead...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Interface And Instrument Plane,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (panels, command palette, drawers, matrices...) produces output (named interface instruments that make the room useful...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Integration Path,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (frontend, backend, storage, retrieval, auth, export...) produces output (build sequence for turning the handoff into working...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Proof Boundary,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (completed packet, code readiness, unimplemented...) produces output (honest current claim ceiling for the handoff...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Next Build Test,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (minimal executable path, seeded fixture, UI...) produces output (specific test that would show the handoff has become...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Trauma != Destiny; Appearance != Morality; Redemption != Death,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Trauma != Destiny; Appearance != Morality; Redemption != Death converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Trauma != Destiny; Appearance != Morality; Redemption != Death` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / White Rose,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / White Rose converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `White Rose` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / The Azrael,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / The Azrael converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `The Azrael` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch A,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch A converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Branch A` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch B,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch B converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Branch B` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload the,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload the converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Upload the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Paste the,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Paste the converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Paste the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload Prompt,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload Prompt converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Upload Prompt` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Issue Proofs,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Issue Proofs converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Issue Proofs` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Narrative and Narration,Demonstrate that Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Narrative and Narration converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Narrative and Narration` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Handoff Identity,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Handoff Identity.,domain grounding,Documents on the Rape of Nanking Timothy Brook,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Room Task Model,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Room Task Model.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Data Schema And Persistence Plan,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Data Schema And Persistence Plan.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Interface And Instrument Plane,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Interface And Instrument Plane.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Integration Path,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Integration Path.,domain grounding,Documents on the Rape of Nanking Timothy Brook,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Proof Boundary,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Proof Boundary.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Next Build Test,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Next Build Test.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Trauma != Destiny; Appearance != Morality; Redemption != Death,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Trauma != Destiny; Appearance != Morality; Redemption != Death.,domain grounding,Documents on the Rape of Nanking Timothy Brook,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / White Rose,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / White Rose.,domain grounding,Documents on the Rape of Nanking Timothy Brook,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / The Azrael,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / The Azrael.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch A,"Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch A.",close-read requirement,The Nutritional Hierarchy of Importance Nutrient Timing PDOC,"Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch B,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Branch B.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload the,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload the.,domain grounding,Documents on the Rape of Nanking Timothy Brook,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Paste the,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Paste the.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload Prompt,"Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Upload Prompt.",close-read requirement,The Nutritional Hierarchy of Importance Nutrient Timing PDOC,"Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Issue Proofs,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Issue Proofs.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Narrative and Narration,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs / Narrative and Narration.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
