fixture_id,project_id,product_name,object_family,operationalization_score,first_run_action,expected_output,falsifier,kit_href,completion_status
NOF-5E7EA4A6A847,applied-history,Applied History - lab for using historical case study to inform contemporary policy,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/applied-history/index.html,kit_built_execution_not_yet_captured
NOF-37AF8DC35F91,mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-nik-handoff-v1/index.html,kit_built_execution_not_yet_captured
NOF-503F981132FE,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-russia-intelligence-analysis-final-handoff/index.html,kit_built_execution_not_yet_captured
NOF-C64D19DD32F6,mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-russian-reference-handoff-final/index.html,kit_built_execution_not_yet_captured
NOF-594A54C82D7E,mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-visible-chat-handoff-package/index.html,kit_built_execution_not_yet_captured
NOF-7BE05BE13BAF,native-aigov-nav,AI Governance Navigator,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-aigov-nav/index.html,kit_built_execution_not_yet_captured
NOF-D470FD1066A4,native-aiintel-cycle,AI Intelligence Cycle,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-aiintel-cycle/index.html,kit_built_execution_not_yet_captured
NOF-458922335E6E,native-aiknowledge-prod,AI Knowledge Production,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-aiknowledge-prod/index.html,kit_built_execution_not_yet_captured
NOF-181A07E67531,native-aiprompt-eng,AI Prompt Engineering,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-aiprompt-eng/index.html,kit_built_execution_not_yet_captured
NOF-7D5FE8893F00,native-aishared-instruments,AI Shared Instruments,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-aishared-instruments/index.html,kit_built_execution_not_yet_captured
NOF-B19520D5C283,native-analyst-assurance-desk,Analyst Assurance Desk,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-analyst-assurance-desk/index.html,kit_built_execution_not_yet_captured
NOF-D21BF531E194,native-berlin,Berlin Occupation Zones and Refugee Crisis,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-berlin/index.html,kit_built_execution_not_yet_captured
NOF-C2A77462A7FF,native-cicc,ICC Complementarity Case Room,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-cicc/index.html,kit_built_execution_not_yet_captured
NOF-E5C28F7E9145,native-crusades,Crusades and Mediterranean Order,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-crusades/index.html,kit_built_execution_not_yet_captured
NOF-49F1560A6693,native-peace,Track II Diplomacy and Peacebuilding,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-peace/index.html,kit_built_execution_not_yet_captured
NOF-3C214294E1E6,native-russia,Russia,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-russia/index.html,kit_built_execution_not_yet_captured
NOF-AB62AE5307D3,native-russia-history-room,Russia Historical Context Room,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-russia-history-room/index.html,kit_built_execution_not_yet_captured
NOF-F314F1A4CA0A,native-war-theory,War Theory and Strategic Culture,source/archive governance,93,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-war-theory/index.html,kit_built_execution_not_yet_captured
NOF-F86EA304A56E,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,software/app,93,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/row6/index.html,kit_built_execution_not_yet_captured
NOF-C9F424EE67DC,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research/publication,92,"Map the claim to evidence, identify method or scope limits, add counterargument handling, and produce a reviewer-facing section packet.","A claim-evidence-method packet with source state, uncertainty boundary, and revision decision.",The fixture fails if the project produces prose without claim-to-source support or if scope conditions are missing.,fixture_kits/cognitive-firewall-instruments/index.html,kit_built_execution_not_yet_captured
NOF-F3F588A07E7C,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/cognitive-warfare/index.html,kit_built_execution_not_yet_captured
NOF-95CE87116B95,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/historical-studies/index.html,kit_built_execution_not_yet_captured
NOF-4C4F62AFD221,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/ir-lexicon/index.html,kit_built_execution_not_yet_captured
NOF-997565907125,master-bundle-atlas,Master Bundle Packet Promotion Atlas,source/archive governance,92,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/master-bundle-atlas/index.html,kit_built_execution_not_yet_captured
NOF-557FF805C8FB,native-africa,Colonial Encounter in Africa,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-africa/index.html,kit_built_execution_not_yet_captured
NOF-F131F01E7A8A,native-amfp,Washington-Jefferson Era Foreign Policy,source/archive governance,92,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-amfp/index.html,kit_built_execution_not_yet_captured
NOF-570D3DB3137B,native-east-asia,East Asian War and Strategic Tradition,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-east-asia/index.html,kit_built_execution_not_yet_captured
NOF-9EEAA0D2FA77,native-mideast,Ottoman Palestine and Early Zionism,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-mideast/index.html,kit_built_execution_not_yet_captured
NOF-BCCF5487EB18,native-mongol,Mongol Empire Military Systems,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-mongol/index.html,kit_built_execution_not_yet_captured
NOF-6A9E778DB98F,native-trilogy-showcase,Book Trilogy Showcase,manuscript/publication,92,"Recover the argument skeleton, apply the project register, attach sources or source gaps, and produce a revision-ready section packet.","A manuscript unit with argument backbone, prose target, source boundary, continuity check, and revision instruction.","The fixture fails if the text is only summarized, if source gaps are hidden, or if the argument role is not preserved.",fixture_kits/native-trilogy-showcase/index.html,kit_built_execution_not_yet_captured
NOF-E53F7ABD47B2,native-trilogy-showcase-atlas,Book Trilogy Atlas,manuscript/publication,92,"Recover the argument skeleton, apply the project register, attach sources or source gaps, and produce a revision-ready section packet.","A manuscript unit with argument backbone, prose target, source boundary, continuity check, and revision instruction.","The fixture fails if the text is only summarized, if source gaps are hidden, or if the argument role is not preserved.",fixture_kits/native-trilogy-showcase-atlas/index.html,kit_built_execution_not_yet_captured
NOF-284CDBF7D993,native-western,Western Political Thought and the Ideal State,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-western/index.html,kit_built_execution_not_yet_captured
NOF-7BDB01E782F1,reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source/archive governance,92,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/reflexive-control-chamber/index.html,kit_built_execution_not_yet_captured
NOF-2C4DF3EB500C,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research/publication,92,"Map the claim to evidence, identify method or scope limits, add counterargument handling, and produce a reviewer-facing section packet.","A claim-evidence-method packet with source state, uncertainty boundary, and revision decision.",The fixture fails if the project produces prose without claim-to-source support or if scope conditions are missing.,fixture_kits/row2/index.html,kit_built_execution_not_yet_captured
