capture_id,execution_run_id,proof_capsule_id,project_id,product_name,proof_artifact,capture_type,acceptance_result,claim_after_capture,next_live_capture_step
PCS-D080EB566AE7,PER-42B2B6C352D3,PC-C8B1F0F9BADA,applied-history,Applied History - lab for using historical case study to inform contemporary policy,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-235E031E3A33,PER-7F3FF632C931,PC-EC03DD98A773,applied-history,Applied History - lab for using historical case study to inform contemporary policy,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-8917F453D5DE,PER-B6B2158ADD7F,PC-EE51DC411215,applied-history,Applied History - lab for using historical case study to inform contemporary policy,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-4FF640BED70B,PER-715E010C58FE,PC-E2BA9EF991FA,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-C2E87E2F4629,PER-CE39E8274CAA,PC-C459DFF03739,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-629A543249E0,PER-D742DD60FAD2,PC-BD6DF94827B1,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-7B5D685972E0,PER-4672F233B947,PC-FFA7E55760F0,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for packet promotion decision record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-4F54D1691AA9,PER-B7BA2D25DD6C,PC-5ED790D31637,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,deterministic simulated capture,SIMULATED_PASS_CONTRACT_COMPLETE,May claim deterministic simulated proof capture; live operational claim remains blocked until a real runtime trace exists.,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
PCS-3422C2B83E48,PER-85E44D436C0C,PC-FE2F4B13BFE9,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for packet promotion decision record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-6CAA5BB040D2,PER-80ECFC8539BC,PC-F79816380EEC,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for packet promotion decision record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-AF28E8474747,PER-1F5127920B77,PC-B010EA75F5BE,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,deterministic simulated capture,SIMULATED_PASS_CONTRACT_COMPLETE,May claim deterministic simulated proof capture; live operational claim remains blocked until a real runtime trace exists.,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
PCS-E838D0A68C21,PER-431476814856,PC-93054FEFBDED,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,deterministic simulated capture,SIMULATED_PASS_CONTRACT_COMPLETE,May claim deterministic simulated proof capture; live operational claim remains blocked until a real runtime trace exists.,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
PCS-5EA45DA8664F,PER-AAC0F7921AC0,PC-EC361DAEE76C,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-C5683753498A,PER-C03A209D9941,PC-D3511025A79C,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-CC4B9FF0D48A,PER-101B53BB9682,PC-D0262FB302C7,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-5F08C063FD62,PER-FDC3D44E951A,PC-B7E0B53B9B4B,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
PCS-9ECAFFAE9FD1,PER-6E0273A142C2,PC-D953A527EE66,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,state transition proof record,source-update capture required,PASS_WITH_SOURCE_UPDATE_GATE,May claim package proof with a source-update gate; stronger citation or literature claims remain blocked until close-read update is recorded.,Complete the linked source close-read update for state transition proof record; then capture a live runtime trace only if making operational or user-ready claims.
