project_id,surface_type,suite_href,full_operational,remaining_gate
applied-history,runtime_slice,suites/applied-history/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-aiprompt-eng,runtime_slice,suites/native-aiprompt-eng/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-analyst-assurance-desk,runtime_slice,suites/native-analyst-assurance-desk/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-berlin,runtime_slice,suites/native-berlin/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia,runtime_slice,suites/native-russia/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-history-room,runtime_slice,suites/native-russia-history-room/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
row6,runtime_slice,suites/row6/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
cognitive-warfare,runtime_slice,suites/cognitive-warfare/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
historical-studies,runtime_slice,suites/historical-studies/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
ir-lexicon,runtime_slice,suites/ir-lexicon/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-africa,runtime_slice,suites/native-africa/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-east-asia,runtime_slice,suites/native-east-asia/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-mideast,runtime_slice,suites/native-mideast/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-mongol,runtime_slice,suites/native-mongol/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-western,runtime_slice,suites/native-western/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
russia-desk,runtime_slice,suites/russia-desk/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
analytical-methodology,runtime_slice,suites/analytical-methodology/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
regional-studies,runtime_slice,suites/regional-studies/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
decision-advantage-system,runtime_slice,suites/decision-advantage-system/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-dialectic-engine-room-pass1-handoff,runtime_slice,suites/mb-dialectic-engine-room-pass1-handoff/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-security-desk,runtime_slice,suites/native-russia-security-desk/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-infragard-handoff,runtime_slice,suites/mb-infragard-handoff/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-insinuationengineroom-handoff-done,runtime_slice,suites/mb-insinuationengineroom-handoff-done/regression_suite.json,no,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-nik-handoff-v1,review_workbench,suites/mb-nik-handoff-v1/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-intelligence-analysis-final-handoff,review_workbench,suites/mb-russia-intelligence-analysis-final-handoff/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russian-reference-handoff-final,review_workbench,suites/mb-russian-reference-handoff-final/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-visible-chat-handoff-package,review_workbench,suites/mb-visible-chat-handoff-package/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aigov-nav,review_workbench,suites/native-aigov-nav/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiintel-cycle,review_workbench,suites/native-aiintel-cycle/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiknowledge-prod,review_workbench,suites/native-aiknowledge-prod/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aishared-instruments,review_workbench,suites/native-aishared-instruments/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-cicc,review_workbench,suites/native-cicc/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-crusades,review_workbench,suites/native-crusades/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-peace,review_workbench,suites/native-peace/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-war-theory,review_workbench,suites/native-war-theory/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
cognitive-firewall-instruments,review_workbench,suites/cognitive-firewall-instruments/regression_suite.json,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
master-bundle-atlas,review_workbench,suites/master-bundle-atlas/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-amfp,review_workbench,suites/native-amfp/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-trilogy-showcase,review_workbench,suites/native-trilogy-showcase/regression_suite.json,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-trilogy-showcase-atlas,review_workbench,suites/native-trilogy-showcase-atlas/regression_suite.json,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
reflexive-control-chamber,review_workbench,suites/reflexive-control-chamber/regression_suite.json,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
