record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-russia-history-room,Russia Source Lane,Demonstrate that Russia Source Lane converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Source Lane; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Regime-Security Desk,Demonstrate that Regime-Security Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regime-Security Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Military Adaptation Desk,Demonstrate that Military Adaptation Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Military Adaptation Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Influence / Reflexive-Control Desk,Demonstrate that Influence / Reflexive-Control Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Influence / Reflexive-Control Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Historical Inheritance Desk,Demonstrate that Historical Inheritance Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Historical Inheritance Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Ukraine / NATO / Europe Desk,Demonstrate that Ukraine / NATO / Europe Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Ukraine / NATO / Europe Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Structured Analytic Review,Demonstrate that Structured Analytic Review converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Structured Analytic Review; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-history-room,Public Claim Restraint,Demonstrate that Public Claim Restraint converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Public Claim Restraint; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
source_binding,native-russia-history-room,Russia Source Lane,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Russia Source Lane.",technical mechanism,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-russia-history-room,Regime-Security Desk,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Regime-Security Desk.",technical mechanism,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
