capture_id,fixture_id,project_id,product_name,object_family,capture_type,capture_status,fully_operational_after_capture,blocking_items_remaining,claim_boundary_after_capture,capture_hash,capture_href
NOCAP-A8B22073F800,NOF-37AF8DC35F91,mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",ffa50bcf338048e5759cdbd39fc97203c877b193a4704f0dde14289e4120fd54,capture_packets/mb-nik-handoff-v1/index.html
NOCAP-77B9B0B37711,NOF-503F981132FE,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",c9af9fb43035a84ae6e21478b3faadbbc71baef12040bbb1cba6bbf68592937c,capture_packets/mb-russia-intelligence-analysis-final-handoff/index.html
NOCAP-4BE6CB69B2C3,NOF-C64D19DD32F6,mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",9926fe3434defcf06fb065728db0c190603c71f0ea24ec9132255564c819d46f,capture_packets/mb-russian-reference-handoff-final/index.html
NOCAP-1FFC8936EC88,NOF-594A54C82D7E,mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",2f5389446e5d386ea4835da62833f751fe0b5c8bed1a73a853d1f997048dd334,capture_packets/mb-visible-chat-handoff-package/index.html
NOCAP-2DD897CEF256,NOF-7BE05BE13BAF,native-aigov-nav,AI Governance Navigator,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",9b40b0009b626ab96699a5621a6e0a011cb15903f6552c296f0226dd02b977fb,capture_packets/native-aigov-nav/index.html
NOCAP-7472C223DCD5,NOF-D470FD1066A4,native-aiintel-cycle,AI Intelligence Cycle,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",a99baad89acb9091ab3de26fe08faba0bf51e2637f699a94c55e486930118173,capture_packets/native-aiintel-cycle/index.html
NOCAP-A1ADC79E2F2D,NOF-458922335E6E,native-aiknowledge-prod,AI Knowledge Production,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",900579a39466abe5d1978ce4064119943bb9c1a0669ea032d39e95bec2a96c05,capture_packets/native-aiknowledge-prod/index.html
NOCAP-457090709D4C,NOF-7D5FE8893F00,native-aishared-instruments,AI Shared Instruments,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",108496f4636d2cbba6746619526b2dc03a447d1166a77eb6bf42bda30ebf7ecb,capture_packets/native-aishared-instruments/index.html
NOCAP-03AB88EAA528,NOF-C2A77462A7FF,native-cicc,ICC Complementarity Case Room,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",a7135857c8cf1dfe0c3a4f6838d775ddeb33c775e0756da7bd875504babeb411,capture_packets/native-cicc/index.html
NOCAP-7C7204280CC7,NOF-E5C28F7E9145,native-crusades,Crusades and Mediterranean Order,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",52bcf31a1e1474550292b4b39fd96723fa16b0b6b7dee0477692e7a4b9eb8638,capture_packets/native-crusades/index.html
