record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-atanalysis,Analysis Tradecraft Runtime Or Interface Surface,Demonstrate that Analysis Tradecraft Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Analysis Tradecraft Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft Data And State Model,Demonstrate that Analysis Tradecraft Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft Core Instrument Panel,Demonstrate that Analysis Tradecraft Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft Workflow Orchestration,Demonstrate that Analysis Tradecraft Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft Review And Governance Gate,Demonstrate that Analysis Tradecraft Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft Export Or Integration Surface,Demonstrate that Analysis Tradecraft Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft Build Verification Queue,Demonstrate that Analysis Tradecraft Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft / Evidence Sections,Demonstrate that Analysis Tradecraft / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft / Review Notes,Demonstrate that Analysis Tradecraft / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft / Native Navigation,Demonstrate that Analysis Tradecraft / Native Navigation converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Native Navigation` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft / APA lineage,Demonstrate that Analysis Tradecraft / APA lineage converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `APA lineage` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-atanalysis,Analysis Tradecraft / source lineage claim limit. The public package remains text,Demonstrate that Analysis Tradecraft / source lineage claim limit. The public package remains text converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `source lineage claim limit. The public package remains text` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
