source_candidate,public_file_label,extraction_status,scan_scope,gap_reason,next_action
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010) PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
(Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,(Military Profiles) Dennis Showalter William J. Astore - Hindenburg Icon of German Militarism - Potomac Books Inc. (2005) PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,China's Military Modernization Building for Regional and Global Reach - Richard D. Fisher Jr..pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
2015.219.Russian Thinkers text,2015.219.Russian - Thinkers text.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
2015.219.Russian Thinkers text PDOC,2015.219.Russian - Thinkers text PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Companion to Andrei Platonov's the Foundation Pit Thomas Seifrid,A Companion to Andrei Platonov's the Foundation Pit - Thomas Seifrid.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Companion to Environmental Thought Peter Hay,A Companion to Environmental Thought - Peter Hay.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,A Companion to Middle High German Literature to the 14th Century - Francis G. Gentry.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Companion to Narrative Theory James Phelan et al,A Companion to Narrative Theory - James Phelan et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Companion to Narrative Theory James Phelan et al (2),A Companion to Narrative Theory - James Phelan et al (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Critical Cinema PDOC,A Critical Cinema PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Critical Companion to Beowulf Andy Orchard,A Critical Companion to Beowulf - Andy Orchard.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar,A Historical Companion to Postcolonial Literatures - Continental Europe and Its Empires - Prem Poddar.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A History of Western Political Thought J. S. McClelland et al,A History of Western Political Thought - J. S. McClelland et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A History of Western Political Thought J. S. McClelland et al (2),A History of Western Political Thought - J. S. McClelland et al (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
A Military Atlas of the First World War Arthur S. Banks et al,A Military Atlas of the First World War - Arthur S. Banks et al.pdf,extracted_no_text,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
