record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-london,Colonial Archive Explorer Artifact Identity Register,Demonstrate that Colonial Archive Explorer Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (packet name, source files, version signal, scope...) produces output (what the packet is and what decision it can still...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer Extraction And Manifest Layer,Demonstrate that Colonial Archive Explorer Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (files, tables, text, screenshots, source notes...) produces output (what can be safely mined from the packet...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer Mechanism Or Claim Distillation,Demonstrate that Colonial Archive Explorer Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (the packet's central method, model, concept, or design...) produces output (the distinctive idea that should not disappear in...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer Proof Boundary,Demonstrate that Colonial Archive Explorer Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (built assets, partial assets, archive-only assets...) produces output (what the packet proves now as a reviewable artifact) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer Promotion Route,Demonstrate that Colonial Archive Explorer Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (website room, MuranoOS room, Nexus task, paper, source...) produces output (where the packet should go next as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer Current Authority State,Demonstrate that Colonial Archive Explorer Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (canonical, superseded, derivative, draft...) produces output (how strongly the packet may govern a public page) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer Gap And Reconciliation Queue,Demonstrate that Colonial Archive Explorer Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (missing source reads, duplicate resolution, version...) produces output (next step before stronger public use as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / Evidence Sections,Demonstrate that Colonial Archive Explorer / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / Review Notes,Demonstrate that Colonial Archive Explorer / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / Russia Desk,Demonstrate that Colonial Archive Explorer / Russia Desk converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Russia Desk` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / Native Navigation,Demonstrate that Colonial Archive Explorer / Native Navigation converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Native Navigation` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / APA lineage,Demonstrate that Colonial Archive Explorer / APA lineage converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `APA lineage` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / source lineage claim limit. The public package remains text,Demonstrate that Colonial Archive Explorer / source lineage claim limit. The public package remains text converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `source lineage claim limit. The public package remains text` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / focused and does not claim unverified runtime state. Plan: identify the region,Demonstrate that Colonial Archive Explorer / focused and does not claim unverified runtime state. Plan: identify the region converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `focused and does not claim unverified runtime state. Plan: identify the region` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / Specific Source Spine,Demonstrate that Colonial Archive Explorer / Specific Source Spine converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Specific Source Spine` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / State What The Page Can And Cannot Claim,Demonstrate that Colonial Archive Explorer / State What The Page Can And Cannot Claim converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `State What The Page Can And Cannot Claim` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-london,Colonial Archive Explorer / Register Lineage,Demonstrate that Colonial Archive Explorer / Register Lineage converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Register Lineage` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
source_binding,native-london,Colonial Archive Explorer Artifact Identity Register,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Colonial Archive Explorer Artifact Identity Register.",method authority,Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-london,Colonial Archive Explorer Extraction And Manifest Layer,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Colonial Archive Explorer Extraction And Manifest Layer.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-london,Colonial Archive Explorer Mechanism Or Claim Distillation,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Colonial Archive Explorer Mechanism Or Claim Distillation.",method authority,Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-london,Colonial Archive Explorer Proof Boundary,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Colonial Archive Explorer Proof Boundary.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-london,Colonial Archive Explorer Promotion Route,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Colonial Archive Explorer Promotion Route.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-london,Colonial Archive Explorer Current Authority State,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Colonial Archive Explorer Current Authority State.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
