project_id,product_name,final_object_type,owner_lane,exclusion_reason
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,analytic method or human-AI evaluation module,excluded_other_chat,CI / CT family
analytical-methods,Structured Analytic Technique Studio,method-composition and evaluation software,excluded_other_chat,explicitly excluded by user ownership boundary
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,analytic method or human-AI evaluation module,excluded_other_chat,explicitly excluded by user ownership boundary
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,research project or professional workbench,excluded_other_chat,CI / CT family
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,source governance or packet-routing system,excluded_other_chat,SAT Studio
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),analytic method or human-AI evaluation module,excluded_other_chat,explicitly excluded by user ownership boundary
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",source governance or packet-routing system,excluded_other_chat,Capstone family
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-chamber-handoff,Chamber of Refractions,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-chamber-of-record-handoff,Chamber of Record,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-codex-prism-handoff-v1,Codex Prism,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-glass-station-handoff,Glass Station,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-handoff-2026,Doctrine Forge Codex,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-prism-foundry-handoff,Prism Foundry,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
