proof_capsule_id,project_id,product_name,component,capsule_stage,capture_requirement,evidence_to_capture,claim_blocked_until_capture,next_build_step
PC-B010EA75F5BE,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab Proof Boundary,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-5ED790D31637,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab / FAA Remote ID,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-93054FEFBDED,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,Decision Advantage System - operating architecture for intelligence and security organizations / Analytic Craft,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-A8B61CC4306A,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal Runtime Or Interface Surface,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-AD8F197FBB53,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal Review And Governance Gate,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-9ACBDAA486A4,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal Export Or Integration Surface,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-0D6B67C3918D,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal / Intelligence Studies Committee,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-D24904AF391F,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room Handoff Identity,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-C52DA55C744F,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room Room Task Model,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-645BCEB35BCA,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room Data Schema And Persistence Plan,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-58D53067E886,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room Integration Path,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
